"lb" "ub" "rho"
931601 931700 0
932501 932600 57.131
934501 934600 55.091
935001 935100 0
935101 935200 64.273
935501 935600 28.566
935701 935800 7.141
936001 936100 51.01
936301 936400 46.929
936501 936600 13.263
936701 936800 53.051
937001 937100 2.04
937201 937300 101
938401 938500 80.596
938701 938800 85.697
938901 939000 101
940001 940100 51.01
941501 941600 24.485
942001 942100 0
942601 942700 27.545
942901 943000 76.515
943501 943600 76.515
943901 944000 0
944701 944800 22.444
945201 945300 87.737
945501 945600 43.869
945801 945900 41.828
946701 946800 46.929
948001 948100 88.758
948501 948600 2.04
948801 948900 2.04
949301 949400 40.808
949401 949500 101
949501 949600 54.071
950201 950300 0
951401 951500 49.99
952201 952300 57.131
953701 953800 2.04
955401 955500 8.162
956101 956200 15.303
956301 956400 49.99
956601 956700 34.687
956701 956800 57.131
958601 958700 57.131
958801 958900 39.788
959001 959100 45.909
959501 959600 2.04
959801 959900 46.929
959901 960000 56.111
960001 960100 21.424
960601 960700 15.303
961801 961900 2.04
962701 962800 101
962801 962900 0
963201 963300 99.98
964401 964500 43.869
965601 965700 90.798
967601 967700 0
967801 967900 24.485
968201 968300 51.01
968401 968500 27.545
969701 969800 0
970301 970400 2.04
972901 973000 8.162
973601 973700 18.364
974801 974900 25.505
975501 975600 56.111
975601 975700 47.949
975901 976000 62.232
977401 977500 46.929
977601 977700 17.343
978001 978100 42.848
978901 979000 71.414
979801 979900 24.485
979901 980000 0
981101 981200 51.01
981601 981700 13.263
983101 983200 0
983301 983400 99.98
983501 983600 54.071
985701 985800 0
986201 986300 3.061
986601 986700 13.263
987001 987100 43.869
987601 987700 73.455
988901 989000 2.04
989001 989100 6.121
991901 992000 0
992201 992300 41.828
992701 992800 0
993101 993200 4.081
994701 994800 3.061
995601 995700 0
995801 995900 101
996801 996900 56.111
998701 998800 30.606
999601 999700 44.889
999701 999800 101
999801 999900 4.081
1000301 1000400 57.131
1002101 1002200 45.909
1002801 1002900 79.576
1004201 1004300 0
1004601 1004700 60.192
1005301 1005400 93.859
1005501 1005600 53.051
1006701 1006800 29.586
1007401 1007500 38.768
1009001 1009100 30.606
1009401 1009500 37.747
1011301 1011400 87.737
1012901 1013000 0
1013101 1013200 33.667
1013301 1013400 24.485
1014901 1015000 20.404
1015301 1015400 63.253
1016501 1016600 36.727
1016801 1016900 2.04
1016901 1017000 49.99
1017301 1017400 101
1017501 1017600 17.343
1018401 1018500 80.596
1019301 1019400 1.02
1021201 1021300 49.99
1021301 1021400 69.374
1021701 1021800 82.636
1021901 1022000 52.03
1022401 1022500 18.364
1023301 1023400 52.03
1023701 1023800 81.616
1025901 1026000 2.04
1026501 1026600 41.828
1027001 1027100 18.364
1027301 1027400 101
1028101 1028200 26.525
1028601 1028700 3.061
1029401 1029500 101
1029601 1029700 48.97
1030201 1030300 2.04
1030401 1030500 34.687
1030601 1030700 42.848
1031301 1031400 88.758
1032201 1032300 36.727
1033601 1033700 42.848
1035101 1035200 94.879
1035601 1035700 3.061
1036101 1036200 101
1036801 1036900 38.768
1038101 1038200 3.061
1038401 1038500 101
1040301 1040400 3.061
1040401 1040500 17.343
1042401 1042500 91.818
1042901 1043000 101
1043101 1043200 64.273
1043501 1043600 2.04
1045301 1045400 0
1045801 1045900 101
1046201 1046300 101
1047401 1047500 30.606
1051701 1051800 51.01
1051901 1052000 4.081
1052101 1052200 98.96
1052601 1052700 70.394
1052801 1052900 28.566
1053801 1053900 0
1056001 1056100 101
1056201 1056300 33.667
1058201 1058300 62.232
1058701 1058800 20.404
1059201 1059300 3.061
1061601 1061700 80.596
1062601 1062700 52.03
1062801 1062900 0
1064701 1064800 47.949
1065301 1065400 0
1065501 1065600 26.525
1065901 1066000 42.848
1066401 1066500 99.98
1067201 1067300 56.111
1069101 1069200 98.96
1069501 1069600 68.354
1070001 1070100 33.667
1071801 1071900 36.727
1073001 1073100 95.899
1073501 1073600 57.131
1073901 1074000 1.02
1075201 1075300 47.949
1075901 1076000 23.465
1076101 1076200 73.455
1076501 1076600 69.374
1077501 1077600 0
1077701 1077800 99.98
1077801 1077900 0
1078501 1078600 27.545
1078601 1078700 21.424
1078701 1078800 18.364
1079701 1079800 2.04
1079901 1080000 38.768
1080801 1080900 99.98
1081801 1081900 38.768
1082101 1082200 0
1082301 1082400 29.586
1082901 1083000 33.667
1083501 1083600 22.444
1084701 1084800 101
1085401 1085500 1.02
1087101 1087200 33.667
1087301 1087400 3.061
1087401 1087500 16.323
1088101 1088200 0
1088801 1088900 43.869
1089401 1089500 55.091
1090101 1090200 0
1091301 1091400 80.596
1091401 1091500 48.97
1091501 1091600 94.879
1092001 1092100 95.899
1092701 1092800 27.545
1093101 1093200 11.222
1095101 1095200 101
1096901 1097000 27.545
1098801 1098900 25.505
1099301 1099400 1.02
1099501 1099600 58.152
1099901 1100000 46.929
1100901 1101000 2.04
1101001 1101100 40.808
1101301 1101400 2.04
1101701 1101800 18.364
1102401 1102500 101
1103301 1103400 38.768
1105001 1105100 0
1105201 1105300 38.768
1105301 1105400 39.788
1105501 1105600 99.98
1105601 1105700 27.545
1106001 1106100 0
1106601 1106700 79.576
1106701 1106800 14.283
1106801 1106900 2.04
1107601 1107700 56.111
1108401 1108500 20.404
1108801 1108900 35.707
1109801 1109900 56.111
1110201 1110300 101
1110301 1110400 22.444
1110801 1110900 101
1111101 1111200 86.717
1111601 1111700 5.101
1112401 1112500 101
1112801 1112900 58.152
1115001 1115100 28.566
1116401 1116500 0
1117201 1117300 2.04
1118801 1118900 0
1120501 1120600 0
1120801 1120900 68.354
1121701 1121800 10.202
1122301 1122400 1.02
1122601 1122700 19.384
1122901 1123000 0
1123101 1123200 76.515
1123901 1124000 101
1124401 1124500 68.354
1124901 1125000 73.455
1126101 1126200 69.374
1126201 1126300 22.444
1126301 1126400 101
1126801 1126900 19.384
1127601 1127700 33.667
1128001 1128100 53.051
1128201 1128300 101
1129001 1129100 51.01
1129201 1129300 10.202
1129301 1129400 0
1129701 1129800 63.253
1130801 1130900 20.404
1133101 1133200 0
1133401 1133500 47.949
1133701 1133800 99.98
1137101 1137200 66.313
1138201 1138300 65.293
1138901 1139000 101
1139301 1139400 101
1140101 1140200 2.04
1141701 1141800 101
1143201 1143300 101
1144701 1144800 25.505
1145101 1145200 69.374
1145301 1145400 47.949
1146201 1146300 101
1146601 1146700 68.354
1147401 1147500 48.97
1147601 1147700 10.202
1147801 1147900 32.646
1149401 1149500 84.677
1150701 1150800 0
1151601 1151700 52.03
1152101 1152200 45.909
1152401 1152500 1.02
1153501 1153600 1.02
1154901 1155000 101
1157301 1157400 99.98
1161101 1161200 101
1162001 1162100 101
1163801 1163900 101
1164201 1164300 93.859
1164501 1164600 12.242
1165701 1165800 101
1166101 1166200 56.111
1166201 1166300 24.485
1166601 1166700 67.333
1167001 1167100 43.869
1167401 1167500 20.404
1167701 1167800 101
1167801 1167900 73.455
1168201 1168300 77.535
1170601 1170700 101
1171001 1171100 36.727
1171401 1171500 101
1171701 1171800 35.707
1173101 1173200 90.798
1173701 1173800 52.03
1174901 1175000 2.04
1175001 1175100 101
1178901 1179000 45.909
1180301 1180400 0
1182201 1182300 77.535
1183701 1183800 101
1184001 1184100 0
1184401 1184500 80.596
1185701 1185800 32.646
1185801 1185900 80.596
1186001 1186100 7.141
1186101 1186200 26.525
1186201 1186300 29.586
1186301 1186400 80.596
1186601 1186700 3.061
1186701 1186800 4.081
1187201 1187300 88.758
1187601 1187700 66.313
1188301 1188400 57.131
1188401 1188500 33.667
1188601 1188700 101
1190601 1190700 1.02
1191001 1191100 28.566
1194401 1194500 38.768
1194901 1195000 70.394
1195701 1195800 27.545
1196101 1196200 25.505
1196301 1196400 3.061
1198401 1198500 42.848
1198901 1199000 1.02
1199901 1200000 0
1201301 1201400 18.364
1201501 1201600 2.04
1201801 1201900 36.727
1202501 1202600 0
1203301 1203400 22.444
1203401 1203500 2.04
1204501 1204600 64.273
1206701 1206800 40.808
1207101 1207200 0
1208601 1208700 12.242
1208801 1208900 48.97
1209901 1210000 78.556
1212401 1212500 49.99
1213901 1214000 76.515
1214301 1214400 10.202
1214801 1214900 31.626
1216601 1216700 29.586
1232801 1232900 0
1235401 1235500 99.98
1236501 1236600 52.03
1236801 1236900 37.747
1237301 1237400 31.626
1239101 1239200 13.263
1240001 1240100 7.141
1240901 1241000 28.566
1245701 1245800 14.283
1247001 1247100 43.869
1247101 1247200 20.404
1247201 1247300 95.899
1247801 1247900 0
1248501 1248600 101
1249801 1249900 41.828
1253201 1253300 1.02
1254201 1254300 18.364
1255201 1255300 0
1258201 1258300 0
1259401 1259500 1.02
1260601 1260700 101
1260801 1260900 101
1262101 1262200 101
1262601 1262700 59.172
1263701 1263800 101
1264101 1264200 55.091
1265801 1265900 57.131
1267001 1267100 2.04
1267101 1267200 7.141
1267201 1267300 46.929
1267401 1267500 45.909
1269001 1269100 101
1273601 1273700 48.97
1277901 1278000 23.465
1284701 1284800 39.788
1285201 1285300 22.444
1285801 1285900 16.323
1286601 1286700 2.04
1291401 1291500 13.263
1292501 1292600 84.677
1295201 1295300 3.061
1296701 1296800 33.667
1298501 1298600 101
1300001 1300100 101
1302501 1302600 2.04
1303101 1303200 56.111
1304201 1304300 2.04
1305401 1305500 70.394
1307001 1307100 22.444
1307601 1307700 31.626
1307901 1308000 38.768
1310301 1310400 33.667
1311101 1311200 25.505
1313301 1313400 9.182
1313401 1313500 84.677
1314001 1314100 10.202
1315901 1316000 25.505
1316101 1316200 29.586
1316601 1316700 37.747
1316801 1316900 44.889
1317501 1317600 51.01
1318301 1318400 2.04
1319101 1319200 32.646
1319501 1319600 14.283
1320701 1320800 60.192
1321801 1321900 91.818
1322601 1322700 14.283
1323301 1323400 60.192
1325101 1325200 56.111
1326501 1326600 0
1326801 1326900 31.626
1327001 1327100 42.848
1330701 1330800 3.061
1331001 1331100 101
1332301 1332400 3.061
1332501 1332600 52.03
1332701 1332800 0
1333301 1333400 101
1334601 1334700 47.949
1335101 1335200 14.283
1335501 1335600 16.323
1337801 1337900 2.04
1339501 1339600 0
1340001 1340100 2.04
1340401 1340500 2.04
1342001 1342100 42.848
1344801 1344900 56.111
1345201 1345300 7.141
1346501 1346600 38.768
1348101 1348200 13.263
1348801 1348900 24.485
1349201 1349300 9.182
1350801 1350900 44.889
1351901 1352000 53.051
1354101 1354200 80.596
1355201 1355300 2.04
1355401 1355500 63.253
1355901 1356000 3.061
1356001 1356100 91.818
1364601 1364700 97.939
1364801 1364900 60.192
1364901 1365000 42.848
1366001 1366100 51.01
1366601 1366700 15.303
1366901 1367000 0
1367001 1367100 101
1367601 1367700 20.404
1370801 1370900 10.202
1372301 1372400 39.788
1373101 1373200 51.01
1374601 1374700 35.707
1374701 1374800 4.081
1376801 1376900 33.667
1377701 1377800 55.091
1378601 1378700 17.343
1379401 1379500 14.283
1380401 1380500 0
1380601 1380700 0
1381001 1381100 15.303
1382301 1382400 59.172
1382501 1382600 0
1382901 1383000 2.04
1383101 1383200 0
1383401 1383500 37.747
1384401 1384500 0
1384601 1384700 51.01
1385401 1385500 0
1385801 1385900 24.485
1385901 1386000 51.01
1386601 1386700 0
1387601 1387700 2.04
1388801 1388900 22.444
1389201 1389300 22.444
1389601 1389700 21.424
1390501 1390600 0
1390801 1390900 3.061
1392701 1392800 3.061
1395801 1395900 10.202
1396301 1396400 33.667
1396901 1397000 48.97
1397101 1397200 0
1398501 1398600 101
1400101 1400200 56.111
1401201 1401300 37.747
1402401 1402500 4.081
1403101 1403200 7.141
1403301 1403400 21.424
1404401 1404500 22.444
1404901 1405000 33.667
1405301 1405400 36.727
1408201 1408300 99.98
1409701 1409800 15.303
1409801 1409900 15.303
1410201 1410300 0
1414301 1414400 1.02
1414701 1414800 69.374
1415301 1415400 66.313
1417801 1417900 20.404
1418301 1418400 3.061
1418601 1418700 58.152
1419001 1419100 23.465
1419401 1419500 0
1419701 1419800 14.283
1420001 1420100 0
1422501 1422600 0
1422801 1422900 26.525
1423201 1423300 36.727
1427901 1428000 30.606
1431701 1431800 34.687
1434801 1434900 8.162
1435601 1435700 2.04
1438301 1438400 11.222
1440701 1440800 14.283
1440801 1440900 0
1441301 1441400 16.323
1445601 1445700 32.646
1445901 1446000 2.04
1446501 1446600 16.323
1449101 1449200 3.061
1452101 1452200 7.141
1452801 1452900 40.808
1454001 1454100 2.04
1454101 1454200 35.707
1454301 1454400 24.485
1454601 1454700 14.283
1456201 1456300 3.061
1456701 1456800 8.162
1463101 1463200 3.061
1464301 1464400 33.667
1465201 1465300 3.061
1465701 1465800 40.808
1467301 1467400 25.505
1469001 1469100 42.848
1471001 1471100 2.04
1471101 1471200 1.02
1474501 1474600 18.364
1475801 1475900 17.343
1478601 1478700 19.384
1480201 1480300 52.03
1484801 1484900 16.323
1485001 1485100 12.242
1485701 1485800 0
1487201 1487300 70.394
1488701 1488800 43.869
1490101 1490200 2.04
1491701 1491800 21.424
1492001 1492100 0
1493901 1494000 38.768
1495201 1495300 13.263
1496501 1496600 42.848
1498401 1498500 2.04
1499501 1499600 2.04
1499801 1499900 0
1500301 1500400 36.727
1501601 1501700 15.303
1501801 1501900 22.444
1502801 1502900 101
1503701 1503800 32.646
1504201 1504300 25.505
1506501 1506600 51.01
1514701 1514800 45.909
1515101 1515200 14.283
1515401 1515500 36.727
1515501 1515600 18.364
1517701 1517800 0
1519101 1519200 15.303
1519401 1519500 21.424
1520001 1520100 0
1520601 1520700 74.475
1522701 1522800 22.444
1524601 1524700 16.323
1525401 1525500 3.061
1529501 1529600 23.465
1530601 1530700 41.828
1531701 1531800 49.99
1532201 1532300 3.061
1534501 1534600 5.101
1536001 1536100 47.949
1536201 1536300 33.667
1536801 1536900 23.465
1537601 1537700 0
1537801 1537900 19.384
1538001 1538100 23.465
1539401 1539500 41.828
1540901 1541000 10.202
1541601 1541700 37.747
1544101 1544200 0
1544401 1544500 40.808
1545301 1545400 15.303
1547901 1548000 101
1548701 1548800 53.051
1549201 1549300 40.808
1550201 1550300 31.626
1550801 1550900 35.707
1551001 1551100 12.242
1551401 1551500 10.202
1552801 1552900 48.97
1554901 1555000 63.253
1555601 1555700 59.172
1556701 1556800 91.818
1556801 1556900 38.768
1557501 1557600 0
1557801 1557900 21.424
1559901 1560000 99.98
1564701 1564800 55.091
1565001 1565100 30.606
1566601 1566700 2.04
1569401 1569500 94.879
1572201 1572300 35.707
1572801 1572900 53.051
1573401 1573500 0
1573801 1573900 48.97
1579901 1580000 58.152
1580401 1580500 55.091
1580601 1580700 0
1581101 1581200 51.01
1581801 1581900 54.071
1582501 1582600 64.273
1582701 1582800 0
1582801 1582900 0
1584201 1584300 0
1584901 1585000 69.374
1585001 1585100 75.495
1585901 1586000 1.02
1586801 1586900 18.364
1586901 1587000 29.586
1587801 1587900 21.424
1588901 1589000 0
1589401 1589500 72.434
1589801 1589900 29.586
1590401 1590500 69.374
1591001 1591100 2.04
1592501 1592600 32.646
1597201 1597300 44.889
1598401 1598500 30.606
1599301 1599400 27.545
1599701 1599800 30.606
1601801 1601900 21.424
1603001 1603100 55.091
1604001 1604100 2.04
1605501 1605600 40.808
1607501 1607600 46.929
1608101 1608200 101
1608401 1608500 31.626
1611001 1611100 56.111
1612301 1612400 37.747
1613501 1613600 92.838
1614001 1614100 69.374
1625501 1625600 9.182
1626901 1627000 1.02
1628501 1628600 10.202
1629201 1629300 52.03
1629501 1629600 40.808
1629901 1630000 92.838
1630101 1630200 27.545
1631201 1631300 22.444
1631501 1631600 40.808
1636001 1636100 92.838
1639001 1639100 0
1643601 1643700 56.111
1644001 1644100 0
1647701 1647800 26.525
1653201 1653300 69.374
1653701 1653800 25.505
1653801 1653900 18.364
1653901 1654000 2.04
1654301 1654400 30.606
1657001 1657100 20.404
1657401 1657500 17.343
1659401 1659500 71.414
1659501 1659600 53.051
1659601 1659700 26.525
1660501 1660600 33.667
1661201 1661300 33.667
1661301 1661400 101
1661901 1662000 17.343
1662601 1662700 3.061
1663001 1663100 63.253
1664601 1664700 45.909
1665601 1665700 25.505
1665901 1666000 28.566
1666301 1666400 60.192
1666801 1666900 70.394
1667201 1667300 16.323
1668401 1668500 101
1669501 1669600 27.545
1671801 1671900 101
1674101 1674200 101
1674401 1674500 96.919
1674601 1674700 76.515
1676301 1676400 0
1677301 1677400 23.465
1677701 1677800 2.04
1681201 1681300 52.03
1681501 1681600 40.808
1682901 1683000 3.061
1683701 1683800 0
1683801 1683900 17.343
1684701 1684800 42.848
1686401 1686500 16.323
1687001 1687100 13.263
1688301 1688400 6.121
1688501 1688600 21.424
1689201 1689300 0
1689601 1689700 6.121
1689801 1689900 7.141
1692601 1692700 27.545
1692701 1692800 55.091
1692801 1692900 37.747
1693001 1693100 17.343
1693201 1693300 55.091
1694001 1694100 11.222
1694401 1694500 22.444
1696601 1696700 17.343
1697701 1697800 88.758
1698001 1698100 76.515
1698101 1698200 0
1700301 1700400 74.475
1703301 1703400 78.556
1703501 1703600 57.131
1703701 1703800 72.434
1703801 1703900 2.04
1704401 1704500 10.202
1707101 1707200 101
1708001 1708100 27.545
1708201 1708300 40.808
1708501 1708600 98.96
1709801 1709900 12.242
1713001 1713100 59.172
1713801 1713900 0
1714501 1714600 8.162
1715001 1715100 59.172
1715301 1715400 31.626
1716101 1716200 76.515
1716601 1716700 63.253
1717001 1717100 41.828
1717501 1717600 101
1717701 1717800 5.101
1718701 1718800 31.626
1718801 1718900 87.737
1719001 1719100 70.394
1719701 1719800 66.313
1720101 1720200 2.04
1720201 1720300 22.444
1721401 1721500 101
1723001 1723100 41.828
1723301 1723400 47.949
1723401 1723500 48.97
1724101 1724200 11.222
1724401 1724500 68.354
1727201 1727300 61.212
1727401 1727500 79.576
1727801 1727900 9.182
1728701 1728800 99.98
1729501 1729600 22.444
1730001 1730100 40.808
1730901 1731000 78.556
1731201 1731300 101
1731801 1731900 3.061
1732101 1732200 101
1732401 1732500 40.808
1732701 1732800 64.273
1733501 1733600 99.98
1734601 1734700 2.04
1736601 1736700 71.414
1738601 1738700 0
1744101 1744200 65.293
1747501 1747600 12.242
1748401 1748500 84.677
1750001 1750100 64.273
1760001 1760100 42.848
1763301 1763400 42.848
1763801 1763900 33.667
1764701 1764800 0
1764901 1765000 24.485
1765001 1765100 21.424
1768601 1768700 83.657
1770501 1770600 92.838
1771101 1771200 93.859
1774001 1774100 30.606
1774101 1774200 14.283
1774801 1774900 33.667
1775101 1775200 83.657
1775301 1775400 2.04
1775401 1775500 32.646
1775601 1775700 65.293
1776001 1776100 86.717
1776801 1776900 64.273
1777101 1777200 101
1777201 1777300 101
1777801 1777900 12.242
1780001 1780100 0
1780301 1780400 36.727
1780701 1780800 39.788
1781101 1781200 0
1781201 1781300 35.707
1781301 1781400 48.97
1782301 1782400 44.889
1784501 1784600 101
1784801 1784900 2.04
1785001 1785100 101
1786401 1786500 52.03
1786901 1787000 47.949
1787201 1787300 24.485
1787401 1787500 27.545
1788801 1788900 42.848
1789001 1789100 43.869
1790601 1790700 48.97
1791501 1791600 75.495
1792101 1792200 33.667
1792901 1793000 11.222
1793101 1793200 8.162
1794901 1795000 14.283
1795101 1795200 19.384
1797101 1797200 96.919
1797701 1797800 33.667
1800601 1800700 35.707
1800701 1800800 14.283
1801801 1801900 2.04
1802701 1802800 37.747
1803201 1803300 25.505
1804901 1805000 79.576
1806501 1806600 2.04
1807101 1807200 45.909
1807801 1807900 0
1809201 1809300 13.263
1810701 1810800 27.545
1811601 1811700 18.364
1813101 1813200 101
1813701 1813800 46.929
1816201 1816300 72.434
1817701 1817800 24.485
1817801 1817900 52.03
1819901 1820000 1.02
1821301 1821400 79.576
1822101 1822200 4.081
1822601 1822700 37.747
1825501 1825600 28.566
1825601 1825700 85.697
1826601 1826700 67.333
1827901 1828000 101
1828501 1828600 26.525
1829301 1829400 99.98
1830301 1830400 0
1830801 1830900 66.313
1831501 1831600 4.081
1831801 1831900 47.949
1832101 1832200 58.152
1832801 1832900 54.071
1833901 1834000 2.04
1835001 1835100 45.909
1835901 1836000 20.404
1837201 1837300 26.525
1838401 1838500 37.747
1838601 1838700 57.131
1839001 1839100 9.182
1839801 1839900 101
1840801 1840900 2.04
1843701 1843800 63.253
1843801 1843900 46.929
1844401 1844500 101
1844601 1844700 97.939
1845201 1845300 101
1845401 1845500 101
1846501 1846600 19.384
1846701 1846800 1.02
1847301 1847400 44.889
1847901 1848000 21.424
1848001 1848100 65.293
1848901 1849000 101
1849201 1849300 29.586
1849901 1850000 2.04
1851801 1851900 25.505
1855801 1855900 18.364
1856101 1856200 31.626
1857901 1858000 14.283
1858101 1858200 11.222
1858501 1858600 51.01
1860101 1860200 29.586
1861101 1861200 36.727
1861601 1861700 57.131
1864901 1865000 1.02
1866601 1866700 40.808
1867601 1867700 86.717
1868901 1869000 51.01
1870501 1870600 74.475
1871001 1871100 0
1872101 1872200 42.848
1872501 1872600 71.414
1874101 1874200 29.586
1874501 1874600 18.364
1876001 1876100 21.424
1876401 1876500 46.929
1877401 1877500 88.758
1877501 1877600 56.111
1878601 1878700 49.99
1880301 1880400 6.121
1880401 1880500 51.01
1882201 1882300 20.404
1884001 1884100 10.202
1884901 1885000 64.273
1885001 1885100 3.061
1885301 1885400 28.566
1886001 1886100 60.192
1886101 1886200 101
